employee_id,name,department,salary,age,years_experience,performance_score,city,hire_date,remote_work,salary_band,tenure_years
EMP0437,Employee_437,Engineering,130977.962472385,59.0,2.0,5.0,Chicago,2013-08-01,Unknown,Executive,12.427397260273972
EMP0064,Employee_64,Sales,63815.72956222096,26.0,13.0,3.0,Seattle,2010-07-09,Yes,Mid,15.493150684931507
EMP0253,Employee_253,Operations,59200.78200517893,43.0,15.0,3.0,Chicago,2012-01-27,No,Entry,13.93972602739726
EMP0056,Employee_56,Operations,84346.10503811814,34.0,16.0,5.0,Boston,2010-06-15,Yes,Mid,15.558904109589042
EMP0375,Employee_375,Engineering,73487.24347524453,26.0,2.0,4.0,San Francisco,2013-01-27,Unknown,Mid,12.936986301369863
EMP0339,Employee_339,Marketing,88417.30876255884,60.0,19.0,5.0,Chicago,2012-10-11,No,Mid,13.232876712328768
EMP0031,Employee_31,HR,116023.03951045046,27.0,1.0,3.0,Chicago,2010-04-01,Yes,Senior,15.764383561643836
EMP0074,Employee_74,Operations,61042.44214822303,52.0,1.0,4.0,Seattle,2010-08-08,Unknown,Mid,15.41095890410959
EMP0333,Employee_333,Engineering,77727.75575572289,57.0,3.0,3.0,San Francisco,2012-09-23,No,Mid,13.282191780821918
EMP0069,Employee_69,Engineering,74394.84763255119,31.0,8.0,4.0,New York,2010-07-24,Yes,Mid,15.452054794520548
EMP0010,Employee_10,Finance,75616.4869579059,50.0,18.0,4.0,Boston,2010-01-28,Unknown,Mid,15.936986301369863
EMP0080,Employee_80,Engineering,80580.60800933554,50.0,15.0,4.0,Austin,2010-08-26,Yes,Mid,15.361643835616439
EMP0102,Employee_102,HR,63369.0399277121,49.0,18.0,5.0,New York,2010-10-31,No,Mid,15.180821917808219
EMP0105,Employee_105,Operations,84840.54717366766,58.0,,3.0,Boston,2010-11-09,No,Mid,15.156164383561643
EMP0278,Employee_278,HR,74131.5045773247,28.0,19.0,2.0,Boston,2012-04-11,Unknown,Mid,13.734246575342466
EMP0133,Employee_133,Engineering,86986.64610858452,27.0,16.0,2.0,Seattle,2011-02-01,Unknown,Mid,14.926027397260274
EMP0439,Employee_439,Finance,76089.94957198456,44.0,19.0,5.0,San Francisco,2013-08-07,No,Mid,12.41095890410959
EMP0326,Employee_326,Finance,83065.73776259215,49.0,17.0,5.0,Austin,2012-09-02,Yes,Mid,13.33972602739726
EMP0073,Employee_73,Engineering,73927.01389305636,60.0,15.0,3.0,Chicago,2010-08-05,No,Mid,15.419178082191781
EMP0229,Employee_229,Operations,133915.0395923365,45.0,17.0,2.0,Boston,2011-11-16,Yes,Executive,14.136986301369863
EMP0358,Employee_358,HR,85521.82100421668,58.0,17.0,2.0,,2012-12-07,No,Mid,13.076712328767123
EMP0078,Employee_78,Engineering,89279.59821468443,35.0,4.0,5.0,Boston,2010-08-20,Yes,Mid,15.378082191780821
EMP0286,Employee_286,Engineering,43532.19535183701,24.0,8.0,5.0,Austin,2012-05-05,No,Entry,13.668493150684931
EMP0091,Employee_91,Engineering,96531.13926111531,55.0,11.0,2.0,Boston,2010-09-28,Yes,Senior,15.271232876712329
EMP0433,Employee_433,HR,86645.67978550849,60.0,19.0,5.0,San Francisco,2013-07-20,Yes,Mid,12.46027397260274
EMP0144,Employee_144,Sales,66913.66749791183,56.0,14.0,4.0,New York,2011-03-06,Unknown,Mid,14.835616438356164
EMP0219,Employee_219,HR,93268.698064474,59.0,3.0,,New York,2011-10-17,Yes,Senior,14.219178082191782
EMP0211,Employee_211,Marketing,79602.50129413257,34.0,3.0,3.0,New York,2011-09-23,No,Mid,14.284931506849315
EMP0125,Employee_125,Sales,90409.13651559678,33.0,3.0,1.0,,2011-01-08,Yes,Senior,14.991780821917809
EMP0181,Employee_181,Sales,44237.50929644292,37.0,6.0,4.0,Chicago,2011-06-25,No,Entry,14.531506849315068
EMP0463,Employee_463,Finance,,,14.0,3.0,Boston,2013-10-18,No,,12.213698630136987
EMP0350,Employee_350,HR,94451.94964826088,29.0,3.0,3.0,New York,2012-11-13,Unknown,Senior,13.142465753424657
EMP0337,Employee_337,Operations,58036.291557885736,57.0,15.0,2.0,,2012-10-05,No,Entry,13.24931506849315
EMP0235,Employee_235,Engineering,69190.51089109376,37.0,11.0,2.0,Austin,2011-12-04,No,Mid,14.087671232876712
EMP0319,Employee_319,Engineering,53867.41652952193,51.0,8.0,3.0,New York,2012-08-12,Unknown,Entry,13.397260273972602
EMP0381,Employee_381,Engineering,84300.23019006077,52.0,15.0,3.0,,2013-02-14,Yes,Mid,12.887671232876713
EMP0071,Employee_71,Finance,82859.39280090884,64.0,,3.0,Chicago,2010-07-30,Yes,Mid,15.435616438356165
EMP0399,Employee_399,Finance,96195.8089586208,22.0,2.0,,Boston,2013-04-09,No,Senior,12.73972602739726
EMP0149,Employee_149,Engineering,71963.27784395682,50.0,14.0,3.0,Boston,2011-03-21,Yes,Mid,14.794520547945206
EMP0085,Employee_85,Sales,79498.96605696713,34.0,14.0,4.0,Seattle,2010-09-10,Yes,Mid,15.32054794520548
EMP0362,Employee_362,HR,69892.34135293355,35.0,18.0,3.0,,2012-12-19,Yes,Mid,13.043835616438356
EMP0090,Employee_90,Marketing,80019.27920887244,52.0,17.0,4.0,,2010-09-25,Yes,Mid,15.27945205479452
EMP0246,Employee_246,Operations,115591.00638921229,54.0,12.0,1.0,Boston,2012-01-06,Yes,Senior,13.997260273972604
EMP0178,Employee_178,Sales,78479.52935664318,33.0,4.0,4.0,Austin,2011-06-16,Yes,Mid,14.556164383561644
EMP0034,Employee_34,Operations,86350.36962820218,49.0,3.0,5.0,San Francisco,2010-04-10,Yes,Mid,15.73972602739726
EMP0077,Employee_77,Finance,71005.4898401483,23.0,11.0,3.0,San Francisco,2010-08-17,Yes,Mid,15.386301369863014
EMP0083,Employee_83,Sales,74389.97704778945,23.0,11.0,2.0,New York,2010-09-04,Yes,Mid,15.336986301369864
EMP0001,Employee_1,Sales,91835.1195155432,30.0,14.0,,Boston,2010-01-01,Unknown,Senior,16.01095890410959
EMP0012,Employee_12,,112077.44748330826,24.0,13.0,1.0,Chicago,2010-02-03,Unknown,Senior,15.92054794520548
EMP0248,Employee_248,,76462.3786010516,34.0,15.0,5.0,Austin,2012-01-12,No,Mid,13.98082191780822
EMP0023,Employee_23,Sales,87405.91263423797,55.0,15.0,3.0,Seattle,2010-03-08,Yes,Mid,15.830136986301369
EMP0254,Employee_254,Sales,59098.42455872768,60.0,11.0,2.0,,2012-01-30,No,Entry,13.931506849315069
EMP0427,Employee_427,Marketing,113939.55768707466,41.0,10.0,1.0,Austin,2013-07-02,No,Senior,12.509589041095891
EMP0226,Employee_226,Sales,83888.3065817909,29.0,7.0,5.0,New York,2011-11-07,Yes,Mid,14.161643835616438
EMP0159,Employee_159,Sales,35567.109997454216,24.0,3.0,3.0,Seattle,2011-04-20,Unknown,Entry,14.712328767123287
EMP0453,Employee_453,Marketing,,47.0,0.0,4.0,Seattle,2013-09-18,Yes,,12.295890410958904
EMP0019,Employee_19,Marketing,75998.69057041513,61.0,5.0,4.0,San Francisco,2010-02-24,Unknown,Mid,15.863013698630137
EMP0183,Employee_183,Operations,47584.16157948288,29.0,9.0,1.0,Austin,2011-07-01,Yes,Entry,14.515068493150684
EMP0336,Employee_336,Engineering,50796.63214686749,55.0,13.0,3.0,,2012-10-02,Yes,Entry,13.257534246575343
EMP0016,Employee_16,Engineering,73012.49954092455,63.0,8.0,,San Francisco,2010-02-15,No,Mid,15.887671232876713
EMP0387,Employee_387,Sales,97648.15478111042,31.0,7.0,2.0,,2013-03-04,No,Senior,12.838356164383562
EMP0040,Employee_40,Marketing,112372.63115064698,50.0,12.0,5.0,San Francisco,2010-04-28,No,Senior,15.69041095890411
EMP0486,Employee_486,Operations,,,10.0,5.0,Seattle,2013-12-26,Unknown,,12.024657534246575
EMP0047,Employee_47,Sales,79611.86331110884,54.0,,4.0,New York,2010-05-19,Unknown,Mid,15.632876712328768
EMP0094,Employee_94,HR,107391.49822869152,27.0,,3.0,Boston,2010-10-07,Unknown,Senior,15.246575342465754
EMP0168,Employee_168,Engineering,90088.41686602426,40.0,4.0,3.0,Seattle,2011-05-17,Unknown,Senior,14.638356164383561
EMP0210,Employee_210,Engineering,74799.67202290506,32.0,0.0,3.0,Chicago,2011-09-20,Yes,Mid,14.293150684931506
EMP0371,Employee_371,Engineering,94866.35801761778,49.0,14.0,5.0,San Francisco,2013-01-15,Yes,Senior,12.96986301369863
EMP0378,Employee_378,Engineering,83078.80200550701,33.0,13.0,4.0,Seattle,2013-02-05,Yes,Mid,12.912328767123288
EMP0290,Employee_290,HR,69443.66624818249,32.0,0.0,4.0,Chicago,2012-05-17,No,Mid,13.635616438356164
EMP0469,Employee_469,Sales,,,0.0,1.0,New York,2013-11-05,Yes,,12.164383561643836
EMP0413,Employee_413,,85566.36752260922,30.0,0.0,4.0,Chicago,2013-05-21,No,Mid,12.624657534246575
EMP0303,Employee_303,Marketing,99219.19936406983,27.0,11.0,4.0,Chicago,2012-06-25,Yes,Senior,13.528767123287672
EMP0432,Employee_432,Finance,102792.61591246874,50.0,1.0,1.0,,2013-07-17,Yes,Senior,12.468493150684932
EMP0154,Employee_154,Marketing,73462.16260953703,35.0,16.0,3.0,Austin,2011-04-05,Unknown,Mid,14.753424657534246
EMP0221,Employee_221,HR,69524.21601792854,32.0,16.0,3.0,Seattle,2011-10-23,Yes,Mid,14.202739726027398
EMP0070,Employee_70,,69142.54335475311,53.0,2.0,2.0,,2010-07-27,No,Mid,15.443835616438356
EMP0363,Employee_363,Marketing,72769.64394016104,60.0,18.0,4.0,San Francisco,2012-12-22,No,Mid,13.035616438356165
EMP0484,Employee_484,HR,,,13.0,2.0,San Francisco,2013-12-20,Unknown,,12.04109589041096
EMP0174,Employee_174,Sales,76580.31038359474,55.0,0.0,3.0,San Francisco,2011-06-04,No,Mid,14.58904109589041
EMP0353,Employee_353,HR,118309.48888925152,44.0,12.0,2.0,Seattle,2012-11-22,Unknown,Senior,13.117808219178082
EMP0232,Employee_232,Marketing,99515.33247797385,33.0,2.0,1.0,Austin,2011-11-25,No,Senior,14.112328767123287
EMP0212,Employee_212,Finance,65424.72568435385,38.0,2.0,4.0,New York,2011-09-26,Yes,Mid,14.276712328767124
EMP0193,Employee_193,Operations,55428.27508440317,45.0,9.0,4.0,Boston,2011-07-31,Unknown,Entry,14.432876712328767
EMP0447,Employee_447,,64917.18466495864,53.0,16.0,4.0,Austin,2013-08-31,No,Mid,12.345205479452055
EMP0325,Employee_325,,89220.34934405237,25.0,2.0,5.0,New York,2012-08-30,No,Mid,13.347945205479451
EMP0223,Employee_223,Engineering,49425.59502191443,54.0,4.0,2.0,Boston,2011-10-29,Unknown,Entry,14.186301369863013
EMP0155,Employee_155,,101713.84224130285,41.0,4.0,1.0,Austin,2011-04-08,No,Senior,14.745205479452055
EMP0423,Employee_423,Engineering,110115.1225114704,54.0,3.0,2.0,Boston,2013-06-20,Yes,Senior,12.542465753424658
EMP0177,Employee_177,Finance,102422.49406863384,45.0,15.0,2.0,Austin,2011-06-13,Unknown,Senior,14.564383561643835
EMP0361,Employee_361,Sales,88735.33528954157,62.0,1.0,5.0,,2012-12-16,Yes,Mid,13.052054794520547
EMP0416,Employee_416,Marketing,74679.10543565253,47.0,17.0,4.0,Seattle,2013-05-30,Unknown,Mid,12.6
EMP0205,Employee_205,HR,86431.32474438785,59.0,12.0,4.0,Austin,2011-09-05,No,Mid,14.334246575342465
EMP0341,Employee_341,Marketing,85368.67866130786,33.0,2.0,3.0,Boston,2012-10-17,No,Mid,13.216438356164383
EMP0279,Employee_279,Finance,70743.08434645672,32.0,1.0,3.0,Chicago,2012-04-14,No,Mid,13.726027397260275
EMP0456,Employee_456,Marketing,,51.0,7.0,2.0,Boston,2013-09-27,Unknown,,12.271232876712329
EMP0365,Employee_365,Operations,66535.33507778191,41.0,18.0,3.0,Boston,2012-12-28,Yes,Mid,13.01917808219178
EMP0087,Employee_87,Finance,54696.17875602895,62.0,15.0,1.0,Austin,2010-09-16,Unknown,Entry,15.304109589041095
EMP0434,Employee_434,Engineering,106309.60750130702,52.0,15.0,4.0,San Francisco,2013-07-23,Unknown,Senior,12.452054794520548
EMP0196,Employee_196,Sales,76694.24172198397,36.0,16.0,1.0,Seattle,2011-08-09,Yes,Mid,14.408219178082192
EMP0407,Employee_407,Sales,90431.57674390748,49.0,5.0,4.0,,2013-05-03,Yes,Senior,12.673972602739726
EMP0020,Employee_20,Sales,97456.99864694996,46.0,8.0,5.0,Boston,2010-02-27,Yes,Senior,15.854794520547944
EMP0349,Employee_349,Sales,105583.11274651288,47.0,1.0,5.0,New York,2012-11-10,Yes,Senior,13.150684931506849
EMP0057,Employee_57,Engineering,43651.15799920247,64.0,16.0,2.0,New York,2010-06-18,No,Entry,15.550684931506849
EMP0372,Employee_372,Engineering,88696.72247389748,23.0,8.0,5.0,Seattle,2013-01-18,No,Mid,12.961643835616439
EMP0348,Employee_348,Engineering,50948.32791524319,56.0,,3.0,New York,2012-11-07,No,Entry,13.158904109589042
EMP0479,Employee_479,,,,16.0,3.0,Seattle,2013-12-05,Yes,,12.082191780821917
EMP0249,Employee_249,,64757.91249479665,51.0,9.0,3.0,,2012-01-15,Unknown,Mid,13.972602739726028
EMP0026,Employee_26,Finance,62507.15816324262,59.0,,3.0,Boston,2010-03-17,No,Mid,15.805479452054794
EMP0452,Employee_452,HR,,22.0,15.0,4.0,Austin,2013-09-15,No,,12.304109589041095
EMP0043,Employee_43,Engineering,106168.48973699176,55.0,12.0,3.0,,2010-05-07,Yes,Senior,15.665753424657535
EMP0474,Employee_474,Operations,,,10.0,3.0,,2013-11-20,Yes,,12.123287671232877
EMP0262,Employee_262,,83914.10266964376,61.0,4.0,3.0,Austin,2012-02-23,Yes,Mid,13.865753424657534
EMP0173,Employee_173,Marketing,92889.04284756594,36.0,1.0,3.0,Boston,2011-06-01,No,Senior,14.597260273972603
EMP0291,Employee_291,Engineering,62788.48309068343,39.0,10.0,3.0,Seattle,2012-05-20,No,Mid,13.627397260273973
EMP0127,Employee_127,Operations,80221.0390626718,56.0,6.0,3.0,,2011-01-14,Unknown,Mid,14.975342465753425
EMP0343,Employee_343,Engineering,74204.80639381277,39.0,5.0,3.0,,2012-10-23,Yes,Mid,13.2
EMP0032,Employee_32,Engineering,87313.49268585717,58.0,5.0,2.0,San Francisco,2010-04-04,Yes,Mid,15.756164383561643
EMP0114,Employee_114,Finance,57344.00538071328,38.0,13.0,4.0,Boston,2010-12-06,Yes,Entry,15.082191780821917
EMP0230,Employee_230,HR,87584.42363950454,62.0,2.0,5.0,Seattle,2011-11-19,No,Mid,14.128767123287671
EMP0228,Employee_228,Sales,62490.21905403247,43.0,7.0,3.0,San Francisco,2011-11-13,Yes,Mid,14.145205479452056
EMP0430,Employee_430,Engineering,55288.79253926056,55.0,,5.0,San Francisco,2013-07-11,Unknown,Entry,12.484931506849316
EMP0058,Employee_58,Engineering,83217.59920974424,46.0,2.0,3.0,San Francisco,2010-06-21,Yes,Mid,15.542465753424658
EMP0382,Employee_382,Finance,120416.0127127102,32.0,15.0,3.0,Austin,2013-02-17,No,Executive,12.87945205479452
EMP0025,Employee_25,Marketing,99232.2975617778,36.0,8.0,2.0,Seattle,2010-03-14,Yes,Senior,15.813698630136987
EMP0018,Employee_18,Marketing,85939.61187529484,36.0,17.0,4.0,Chicago,2010-02-21,Unknown,Mid,15.871232876712329
EMP0266,Employee_266,Finance,107531.30059095514,30.0,0.0,1.0,Chicago,2012-03-06,Yes,Senior,13.832876712328767
EMP0067,Employee_67,Engineering,65285.47907328913,44.0,1.0,5.0,Seattle,2010-07-18,Yes,Mid,15.468493150684932
EMP0315,Employee_315,Operations,74545.5395896192,36.0,15.0,3.0,San Francisco,2012-07-31,Yes,Mid,13.43013698630137
EMP0468,Employee_468,Operations,,,11.0,3.0,New York,2013-11-02,Yes,,12.172602739726027
EMP0095,Employee_95,Finance,82441.64817038467,40.0,10.0,2.0,Boston,2010-10-10,Yes,Mid,15.238356164383562
EMP0457,Employee_457,Engineering,,39.0,,3.0,,2013-09-30,No,,12.263013698630138
EMP0355,Employee_355,Engineering,48182.515373367096,35.0,12.0,3.0,Austin,2012-11-28,No,Entry,13.101369863013698
EMP0024,Employee_24,Sales,95288.77668117498,45.0,12.0,5.0,,2010-03-11,Unknown,Senior,15.821917808219178
EMP0250,Employee_250,Operations,51902.86656268461,54.0,15.0,1.0,Chicago,2012-01-18,Yes,Entry,13.964383561643835
EMP0273,Employee_273,Operations,88961.6952153571,33.0,0.0,4.0,,2012-03-27,Yes,Mid,13.775342465753425
EMP0301,Employee_301,Engineering,80193.4920368373,53.0,19.0,2.0,Seattle,2012-06-19,Yes,Mid,13.545205479452054
EMP0006,Employee_6,Engineering,94838.38343013012,32.0,13.0,2.0,Chicago,2010-01-16,Yes,Senior,15.96986301369863
EMP0117,Employee_117,Finance,57028.64852361717,38.0,7.0,4.0,Seattle,2010-12-15,Unknown,Entry,15.057534246575342
EMP0046,Employee_46,HR,44215.35644479799,34.0,6.0,4.0,New York,2010-05-16,Yes,Entry,15.64109589041096
EMP0500,Employee_500,,,,15.0,,,2014-02-06,Yes,,11.90958904109589
EMP0395,Employee_395,Sales,88554.02001866508,41.0,6.0,5.0,New York,2013-03-28,No,Mid,12.772602739726027
EMP0017,Employee_17,Sales,85104.87399436366,30.0,1.0,4.0,,2010-02-18,No,Mid,15.87945205479452
EMP0490,Employee_490,Operations,,,6.0,5.0,Seattle,2014-01-07,Unknown,,11.991780821917809
EMP0376,Employee_376,Sales,87440.19629290723,22.0,,3.0,New York,2013-01-30,Unknown,Mid,12.92876712328767
EMP0004,Employee_4,HR,73461.92688675194,58.0,11.0,4.0,Boston,2010-01-10,No,Mid,15.986301369863014
EMP0489,Employee_489,,,,18.0,3.0,,2014-01-04,Yes,,12.0
EMP0449,Employee_449,Sales,84306.30225226437,26.0,8.0,3.0,Seattle,2013-09-06,No,Mid,12.32876712328767
EMP0061,Employee_61,Sales,92331.96492193696,48.0,10.0,4.0,Austin,2010-06-30,No,Senior,15.517808219178082
EMP0111,Employee_111,Sales,64255.07691347087,57.0,15.0,2.0,Boston,2010-11-27,Yes,Mid,15.106849315068493
EMP0335,Employee_335,Engineering,91156.03537784118,36.0,0.0,5.0,Austin,2012-09-29,Unknown,Senior,13.265753424657534
EMP0275,Employee_275,Marketing,73526.75986239528,29.0,15.0,3.0,Chicago,2012-04-02,Unknown,Mid,13.758904109589041
EMP0030,Employee_30,Engineering,70030.26926886893,39.0,3.0,5.0,,2010-03-29,Yes,Mid,15.772602739726027
EMP0366,Employee_366,Sales,57966.30788767333,23.0,1.0,3.0,Seattle,2012-12-31,Yes,Entry,13.01095890410959
EMP0186,Employee_186,HR,118528.74624550564,50.0,12.0,3.0,Austin,2011-07-10,No,Senior,14.490410958904109
EMP0027,Employee_27,Engineering,54317.71658528756,29.0,12.0,3.0,,2010-03-20,Yes,Entry,15.797260273972602
EMP0008,Employee_8,Operations,121629.17531708708,24.0,0.0,4.0,Chicago,2010-01-22,No,Executive,15.953424657534246
EMP0182,Employee_182,Engineering,64838.27378165192,48.0,10.0,,San Francisco,2011-06-28,Unknown,Mid,14.523287671232877
EMP0478,Employee_478,HR,,,2.0,2.0,Chicago,2013-12-02,No,,12.09041095890411
EMP0109,Employee_109,Sales,115462.48154539317,41.0,13.0,3.0,Chicago,2010-11-21,Yes,Senior,15.123287671232877
EMP0038,Employee_38,Engineering,104431.4190190871,61.0,1.0,5.0,,2010-04-22,No,Senior,15.706849315068494
EMP0158,Employee_158,Finance,113831.372413158,48.0,18.0,3.0,Austin,2011-04-17,No,Senior,14.72054794520548
EMP0494,Employee_494,Engineering,,,4.0,2.0,Boston,2014-01-19,No,,11.95890410958904
EMP0119,Employee_119,Operations,71987.14861756346,22.0,9.0,4.0,Chicago,2010-12-21,Yes,Mid,15.04109589041096
EMP0115,Employee_115,HR,103523.55095063282,33.0,14.0,1.0,Seattle,2010-12-09,No,Senior,15.073972602739726
EMP0272,Employee_272,Operations,84517.49825779993,62.0,6.0,2.0,Boston,2012-03-24,Yes,Mid,13.783561643835617
EMP0176,Employee_176,Engineering,126508.01597290878,46.0,16.0,4.0,Seattle,2011-06-10,No,Executive,14.572602739726028
EMP0209,Employee_209,Engineering,105750.798885158,29.0,4.0,1.0,San Francisco,2011-09-17,Yes,Senior,14.301369863013699
EMP0204,Employee_204,Operations,67878.32348182265,30.0,6.0,1.0,Boston,2011-09-02,Unknown,Mid,14.342465753424657
EMP0145,Employee_145,Sales,97771.84917554748,34.0,12.0,4.0,New York,2011-03-09,No,Senior,14.827397260273973
EMP0195,Employee_195,Sales,91769.92814988828,41.0,8.0,3.0,Boston,2011-08-06,No,Senior,14.416438356164383
EMP0389,Employee_389,Finance,97436.19924434392,31.0,4.0,1.0,,2013-03-10,Yes,Senior,12.821917808219178
EMP0401,Employee_401,Engineering,101678.44309097808,49.0,13.0,3.0,New York,2013-04-15,No,Senior,12.723287671232876
EMP0424,Employee_424,Marketing,67107.85395560993,35.0,16.0,1.0,San Francisco,2013-06-23,Unknown,Mid,12.534246575342467
EMP0498,Employee_498,Engineering,,,5.0,3.0,Chicago,2014-01-31,Yes,,11.926027397260274
EMP0403,Employee_403,Marketing,83596.68577082705,58.0,4.0,3.0,New York,2013-04-21,Yes,Mid,12.706849315068494
EMP0470,Employee_470,,,,4.0,2.0,Seattle,2013-11-08,Yes,,12.156164383561643
EMP0142,Employee_142,Sales,85961.69893322764,25.0,12.0,4.0,Chicago,2011-02-28,Yes,Mid,14.852054794520548
EMP0385,Employee_385,Finance,99155.0387091095,35.0,3.0,3.0,San Francisco,2013-02-26,Yes,Senior,12.854794520547944
EMP0068,Employee_68,Finance,95080.93031035688,63.0,13.0,4.0,New York,2010-07-21,Yes,Senior,15.46027397260274
EMP0169,Employee_169,Engineering,91752.05324150404,26.0,14.0,3.0,New York,2011-05-20,No,Senior,14.63013698630137
EMP0189,Employee_189,Marketing,101588.1116236698,48.0,6.0,3.0,Austin,2011-07-19,Yes,Senior,14.465753424657533
EMP0396,Employee_396,Operations,58293.11282579797,29.0,17.0,4.0,,2013-03-31,Unknown,Entry,12.764383561643836
EMP0238,Employee_238,Engineering,111908.40092309956,41.0,16.0,2.0,Boston,2011-12-13,No,Senior,14.063013698630137
EMP0194,Employee_194,HR,107875.08086413858,24.0,6.0,1.0,,2011-08-03,Yes,Senior,14.424657534246576
EMP0082,Employee_82,HR,100150.1542009461,60.0,14.0,4.0,San Francisco,2010-09-01,No,Senior,15.345205479452055
EMP0110,Employee_110,Engineering,95778.20087369316,53.0,3.0,4.0,Austin,2010-11-24,Unknown,Senior,15.115068493150686
EMP0461,Employee_461,Engineering,,,7.0,4.0,Seattle,2013-10-12,Yes,,12.23013698630137
EMP0146,Employee_146,Engineering,51769.598754620805,62.0,,2.0,,2011-03-12,Yes,Entry,14.819178082191781
EMP0093,Employee_93,Finance,,56.0,12.0,3.0,San Francisco,2010-10-04,No,,15.254794520547945
EMP0153,Employee_153,Engineering,105125.85618428882,23.0,15.0,3.0,Chicago,2011-04-02,Yes,Senior,14.761643835616438
EMP0245,Employee_245,Engineering,51150.707405703615,54.0,4.0,4.0,Chicago,2012-01-03,No,Entry,14.005479452054795
EMP0415,Employee_415,HR,103765.67611951997,41.0,,3.0,,2013-05-27,Yes,Senior,12.608219178082193
EMP0431,Employee_431,Engineering,90341.00531738518,46.0,3.0,3.0,New York,2013-07-14,Yes,Senior,12.476712328767123
EMP0084,Employee_84,Engineering,73483.6351871064,53.0,3.0,3.0,New York,2010-09-07,No,Mid,15.32876712328767
EMP0104,Employee_104,Marketing,102632.795138989,51.0,3.0,3.0,Chicago,2010-11-06,Yes,Senior,15.164383561643836
EMP0166,Employee_166,Operations,81886.45529215841,41.0,0.0,2.0,Chicago,2011-05-11,Yes,Mid,14.654794520547945
EMP0164,Employee_164,Marketing,72920.29626568359,37.0,3.0,5.0,Boston,2011-05-05,Unknown,Mid,14.67123287671233
EMP0200,Employee_200,Finance,89964.41172600671,28.0,18.0,4.0,Boston,2011-08-21,Yes,Mid,14.375342465753425
EMP0256,Employee_256,HR,118380.43050578788,59.0,19.0,4.0,Austin,2012-02-05,No,Senior,13.915068493150685
